Repositorio/Año,Mes,Categoría,Nombre del archivo,Ruta completa,Tamaño del archivo (bytes),Palabras clave detectadas
2015,Agosto,Otros,JefeQueryRegional.sql,Agosto2015/AprobacionJefesRegionales/JefeQueryRegional.sql,5406,
2015,Agosto,Créditos,QueryCredJR.sql,Agosto2015/CredOtorgJR/QueryCredJR.sql,4160,cred
2015,Agosto,Cartera,QueryCartNoMinorista.sql,Agosto2015/JuandeDiosCarteraNoMinorista/QueryCartNoMinorista.sql,9073,cart
2015,Agosto,Otros,QueryAdmDirecJZurita.sql,Agosto2015/AdmDirectoresJoseZurita/QueryAdmDirecJZurita.sql,3408,
2015,Agosto,Otros,QueryTargentCampaña.sql,Agosto2015/JuandDios/QueryTargentCampaña.sql,690,
2015,Junio,Créditos,SQLQueryHipotW.sql,Junio2015/WilliamHipotecarios/SQLQueryHipotW.sql,6994,hipot
2015,Junio,Cartera,SQLQueryDetalleCartaFianza.sql,Junio2015/CartasFianzaJuandDios/SQLQueryDetalleCartaFianza.sql,3867,cart
2015,Junio,Cartera,SQLQueryCartaFianza.sql,Junio2015/CartasFianzaJuandDios/SQLQueryCartaFianza.sql,11333,cart
2015,Junio,Cartera,SQLQueryUpdateCartafianza.sql,Junio2015/CartasFianzaJuandDios/SQLQueryUpdateCartafianza.sql,3704,cart
2015,Junio,Cartera,SQLQueryCartAnalista.sql,Junio2015/CarteraAnalista/SQLQueryCartAnalista.sql,3523,cart
2015,Junio,Otros,SQLQueryPuntaje.sql,Junio2015/PuntajeAnalistas/SQLQueryPuntaje.sql,2784,
2015,Junio,Otros,SQLQueryJoyasAdjXMes.sql,Junio2015/JoyasAdjundicadasXMes/SQLQueryJoyasAdjXMes.sql,6351,
2015,Junio,Otros,SQLQueryBusqueda.sql,Junio2015/BelissaBusqueda/SQLQueryBusqueda.sql,3432,
2015,Junio,Reportes SBS,SQLQueryCarlosProdSBS.sql,Junio2015/CarlitosProdSBS/SQLQueryCarlosProdSBS.sql,879,sbs
2015,Junio,Otros,SQLQueryListaAsesores.sql,Junio2015/ListaAsesores/SQLQueryListaAsesores.sql,3374,
2015,Junio,Otros,SQLQueryDirecciones.sql,Junio2015/DireccNegDomiciCarlitos/SQLQueryDirecciones.sql,2846,
2015,Junio,Cartera,SQLQueryCartNoMinorista.sql,Junio2015/CarteraNoMinoristas/SQLQueryCartNoMinorista.sql,7886,cart
2015,Junio,Otros,SQLQueryAvanceMetas.sql,Junio2015/AvanceMetas/SQLQueryAvanceMetas.sql,7840,
2015,Junio,Expedientes,SQLQueryMkt.sql,Junio2015/SusanExpirianPilotoMKT/SQLQueryMkt.sql,5295,exp
2015,Junio,Otros,SQLQueryParametros.sql,Junio2015/VisualizarSP/SQLQueryParametros.sql,587,
2015,Junio,Otros,SQLQuerySusanAsesor.sql,Junio2015/SussanAsesor/SQLQuerySusanAsesor.sql,2758,
2015,Junio,Cartera,SQLQueryAprobCartFianza.sql,Junio2015/AprobacionCartaFianza/SQLQueryAprobCartFianza.sql,3279,cart
2015,Junio,Créditos,SQLQueryCredUnicuotas.sql,Junio2015/UniCoutas/SQLQueryCredUnicuotas.sql,621,cred
2015,Abril,Reportes SBS,SQLQueryNumEntSbs.sql,Abril2015/NumEntSbs/SQLQueryNumEntSbs.sql,1576,sbs
2015,Abril,Otros,SQLQuery_BN.sql,Abril2015/Banco_Nacion/SQLQuery_BN.sql,901,
2015,Abril,Otros,SQLQuery_BN_Det.sql,Abril2015/Banco_Nacion/SQLQuery_BN_Det.sql,11142,
2015,Abril,Otros,SQLQueryWS.sql,Abril2015/WS_/SQLQueryWS.sql,8263,
2015,Abril,Otros,SQLQueryEstadoAnalistas.sql,Abril2015/OscarYance/SQLQueryEstadoAnalistas.sql,377,
2015,Abril,Cartera,SQLQueryCalRCC.sql,Abril2015/CarteraChincha/SQLQueryCalRCC.sql,12770,"cart, rcc"
2015,Abril,Cartera,SQLQueryCarteraChincha_Det.sql,Abril2015/CarteraChincha/SQLQueryCarteraChincha_Det.sql,5234,cart
2015,Abril,Cartera,SQLQueryCarteraChincha.sql,Abril2015/CarteraChincha/SQLQueryCarteraChincha.sql,13067,cart
